description_text,link
India Porsche deaths: Outrage at bail granted to underage 'drunk driver' in Pune,https://www.thenationalnews.com/news/asia/2024/05/21/pune-porsche-accident/&ved=2ahUKEwjI4pCmqdaGAxXya2wGHS8eDrc4KBDF9AF6BAgBEAI&usg=AOvVaw1XOU1-I9dN6lqNexDUwywT
"Pune Porsche crash: Teen driver's father, owners of two bars arrested",https://www.indiatoday.in/india/story/pune-porsche-crash-update-father-of-teen-who-killed-2-techies-detained-from-aurangabad-2541770-2024-05-21&ved=2ahUKEwjI4pCmqdaGAxXya2wGHS8eDrc4KBDF9AF6BAgDEAI&usg=AOvVaw2e1F4K3dWFd217vZUeZRVg
Pune Porsche accident: Who were the two IT professionals who died in car crash,https://www.hindustantimes.com/india-news/pune-porsche-accident-who-were-the-two-it-professionals-who-died-in-car-crash-101716298272087.html&ved=2ahUKEwjI4pCmqdaGAxXya2wGHS8eDrc4KBDF9AF6BAgEEAI&usg=AOvVaw1NhRSyOhLSouHzKsy7jneQ
"Crime Branch To Probe Pune Porsche Crash, Teen Driver's Father Arrested",https://www.ndtv.com/india-news/teen-drivers-father-arrested-after-pune-porsche-crash-killed-2-5709747&ved=2ahUKEwjI4pCmqdaGAxXya2wGHS8eDrc4KBDF9AF6BAgGEAI&usg=AOvVaw0Bh860gDQQdF6rhqVtFFdV
Three Indian-origin students killed in road accident in US,https://www.deccanherald.com/world/three-indian-origin-students-killed-in-road-accident-in-us-3033499&ved=2ahUKEwjI4pCmqdaGAxXya2wGHS8eDrc4KBDF9AF6BAgFEAI&usg=AOvVaw2cXEj286cxd1aCulue1RSA
Pune Porsche Crash: CCTV shows teen drinking alcohol in pub before crash that killed 2 - India Today,https://www.indiatoday.in/cities/pune/video/cctv-footage-shows-pune-teen-with-alcohol-in-pub-before-accident-that-killed-2-2541591-2024-05-20&ved=2ahUKEwjGy72mqdaGAxXFVmwGHSubBLQ4MhDF9AF6BAgEEAI&usg=AOvVaw1_PrgH6xkQv1pQhomMM1xW
Pune teen who killed 2 people with Porsche granted bail - India Today,https://www.indiatoday.in/cities/pune/video/pune-teen-who-killed-2-people-with-porsche-granted-bail-2541488-2024-05-20&ved=2ahUKEwjGy72mqdaGAxXFVmwGHSubBLQ4MhDF9AF6BAgJEAI&usg=AOvVaw1SmgTQsKjckzNZMkPXVVFF
Pune Porsche accident: CCTV captures speeding car before crash that killed 2,https://indianexpress.com/article/cities/pune/pune-porsche-accident-cctv-captures-speeding-car-9340833/&ved=2ahUKEwjGy72mqdaGAxXFVmwGHSubBLQ4MhDF9AF6BAgHEAI&usg=AOvVaw2WJm3SMv578eaJBYsnQwjW
"Exclusive: Pune teen must be tried as adult, says top cop amid outrage over bail",https://www.indiatoday.in/india/story/pune-crash-porche-techies-killed-outrage-top-cop-exclusive-2541588-2024-05-20&ved=2ahUKEwjGy72mqdaGAxXFVmwGHSubBLQ4MhDF9AF6BAgDEAI&usg=AOvVaw2xV_BxTbacVwWA2paQtIOq
Pune Porsche crash: CCTV captures sports car speeding at 150 kmph before crashing into bike - India Today,https://www.indiatoday.in/cities/pune/video/cctv-captures-accident-involving-porsche-two-wheeler-in-pune-2541585-2024-05-20&ved=2ahUKEwjGy72mqdaGAxXFVmwGHSubBLQ4MhDF9AF6BAgBEAI&usg=AOvVaw1YFGmYUuNu1YOeAgaoxrNl
2 killed as Porsche hits bike in Pune: Minor driver told to write essay on accident by court,https://indianexpress.com/article/cities/pune/luxury-car-bike-accident-minor-booked-yerwada-9338669/&ved=2ahUKEwjGy72mqdaGAxXFVmwGHSubBLQ4MhDF9AF6BAgAEAI&usg=AOvVaw2oD-PKc2_gcajcO61cJ0v4
"Decrease in road accident fatalities in Delhi till May 15, shows data",https://www.business-standard.com/india-news/decrease-in-road-accident-fatalities-in-delhi-till-may-15-shows-data-124051900346_1.html&ved=2ahUKEwjGy72mqdaGAxXFVmwGHSubBLQ4MhDF9AF6BAgCEAI&usg=AOvVaw3DAmdVYUntj9Sp_n7qIBUU
Effective speed management critical in India to reduce road crash fatalities,https://citizenmatters.in/safer-roads-speed-management-in-india-wri/&ved=2ahUKEwjGy72mqdaGAxXFVmwGHSubBLQ4MhDF9AF6BAgFEAI&usg=AOvVaw1tynfipB6s7Bhl89cwM2Q-
"4 law university students killed in Patiala road accident, 2 others injured",https://indianexpress.com/article/cities/chandigarh/law-university-students-killed-accident-road-injured-9336987/&ved=2ahUKEwjGy72mqdaGAxXFVmwGHSubBLQ4MhDF9AF6BAgGEAI&usg=AOvVaw2VXx_C6QVq948W6eZZ-Cwe
Four RGNUL students killed in tragic road accident on Patiala-Bhadson Road,https://www.financialexpress.com/india-news/four-rgnul-students-killed-in-tragic-road-accident-on-patiala-bhadson-road/3492688/&ved=2ahUKEwjGy72mqdaGAxXFVmwGHSubBLQ4MhDF9AF6BAgIEAI&usg=AOvVaw2QZkj09y2t99yDURPlj47W
"Exclusive: Pune teen must be tried as adult, says top cop amid outrage over bail",https://www.indiatoday.in/india/story/pune-crash-porche-techies-killed-outrage-top-cop-exclusive-2541588-2024-05-20&ved=2ahUKEwi4sv2mqdaGAxWYRmwGHZ4XDR44PBDF9AF6BAgEEAI&usg=AOvVaw1ekJqPIALDVolBie-KsczV
Decrease in road accident fatalities in Delhi till May 15,https://auto.hindustantimes.com/auto/news/decrease-in-road-accident-fatalities-in-delhi-till-may-15-41716169609904.html&ved=2ahUKEwi4sv2mqdaGAxWYRmwGHZ4XDR44PBDF9AF6BAgJEAI&usg=AOvVaw2_qFPAq9QgTKLOEA-XCHEq
Pune Porsche crash: CCTV captures sports car speeding at 150 kmph before crashing into bike - India Today,https://www.indiatoday.in/cities/pune/video/cctv-captures-accident-involving-porsche-two-wheeler-in-pune-2541585-2024-05-20&ved=2ahUKEwi4sv2mqdaGAxWYRmwGHZ4XDR44PBDF9AF6BAgIEAI&usg=AOvVaw1fbyenAGdKbucNpyDXm5BX
Effective speed management critical in India to reduce road crash fatalities,https://citizenmatters.in/safer-roads-speed-management-in-india-wri/&ved=2ahUKEwi4sv2mqdaGAxWYRmwGHZ4XDR44PBDF9AF6BAgAEAI&usg=AOvVaw2D-M3eIkIAMR2mbXkXKapY
"4 law university students killed in Patiala road accident, 2 others injured",https://indianexpress.com/article/cities/chandigarh/law-university-students-killed-accident-road-injured-9336987/&ved=2ahUKEwi4sv2mqdaGAxWYRmwGHZ4XDR44PBDF9AF6BAgGEAI&usg=AOvVaw0A8wCvugWa2sshX6Zd--9H
Four RGNUL students killed in tragic road accident on Patiala-Bhadson Road,https://www.financialexpress.com/india-news/four-rgnul-students-killed-in-tragic-road-accident-on-patiala-bhadson-road/3492688/&ved=2ahUKEwi4sv2mqdaGAxWYRmwGHZ4XDR44PBDF9AF6BAgHEAI&usg=AOvVaw1YUrRu3iADgsKBODuyWzd7
Indian Software Engineer From Hyderabad Killed In US In Road Accident,https://www.india.com/news/world/indian-software-engineer-abbaraju-prudhvi-hyderabad-killed-in-us-in-road-accident-6938941/&ved=2ahUKEwi4sv2mqdaGAxWYRmwGHZ4XDR44PBDF9AF6BAgFEAI&usg=AOvVaw2yKvPZ3pDKD_l06O4BvDnI
4 students of RGNUL killed in car accident in Patiala,https://timesofindia.indiatimes.com/city/ludhiana/4-students-of-rgnul-killed-in-car-accident-in-patiala/articleshow/110230761.cms&ved=2ahUKEwi4sv2mqdaGAxWYRmwGHZ4XDR44PBDF9AF6BAgDEAI&usg=AOvVaw0HXmIFlYswzAZL38iLuVLO
"Rajasthan: 5 women killed, 12 injured in road accident in Bharatpur",https://www.financialexpress.com/india-news/rajasthan-5-women-killed-12-injured-in-road-accident-in-bharatpur/3492088/&ved=2ahUKEwi4sv2mqdaGAxWYRmwGHZ4XDR44PBDF9AF6BAgBEAI&usg=AOvVaw3ViXhBqrnw1ab1oIXy53U3
"Two killed, three injured as BMW rams e-rickshaw in Noida sector 35",https://timesofindia.indiatimes.com/city/noida/two-killed-three-injured-as-bmw-rams-e-rickshaw-in-noida-sector-35/articleshow/110170973.cms&ved=2ahUKEwi4sv2mqdaGAxWYRmwGHZ4XDR44PBDF9AF6BAgCEAI&usg=AOvVaw2fm7l91-Dn6PShBiDYfEen
Six of family killed in road accident in Rajasthan's Sawai Madhopur,https://timesofindia.indiatimes.com/city/jaipur/six-of-family-killed-in-road-accident-in-rajasthans-sawai-madhopur/articleshow/109852440.cms&ved=2ahUKEwiQrr6nqdaGAxVOT2cHHcBeAPc4RhDF9AF6BAgFEAI&usg=AOvVaw3wY9Sq-pUJw9TMOMM6PYhG
"Savukku Shankar arrested, suffers minor injuries in road accident after arrest",https://timesofindia.indiatimes.com/city/chennai/savukku-shankar-arrested-suffers-minor-injuries-in-road-accident-after-arrest/articleshow/109833825.cms&ved=2ahUKEwiQrr6nqdaGAxVOT2cHHcBeAPc4RhDF9AF6BAgJEAI&usg=AOvVaw38aemGVW9sB-gxsfxNIaE-
"Indian Couple, Their Grandchild Killed In Multi-Vehicle Accident In Canada",https://www.ndtv.com/indians-abroad/indian-couple-their-grandchild-killed-in-multi-vehicle-accident-in-canada-5584605&ved=2ahUKEwiQrr6nqdaGAxVOT2cHHcBeAPc4RhDF9AF6BAgHEAI&usg=AOvVaw0uhrLNO-DMQVPI0dtFJLGe
Woman killed in road accident,https://timesofindia.indiatimes.com/city/cuttack/woman-killed-in-road-accident/articleshow/109798809.cms&ved=2ahUKEwiQrr6nqdaGAxVOT2cHHcBeAPc4RhDF9AF6BAgCEAI&usg=AOvVaw2W5F_nOCK0S3nVYa7XvkWZ
"3-month-old, grandparents visiting from India killed in 401 crash: SIU",https://www.cbc.ca/news/canada/toronto/highway-401-crash-1.7191995&ved=2ahUKEwiQrr6nqdaGAxVOT2cHHcBeAPc4RhDF9AF6BAgDEAI&usg=AOvVaw18rXvrjYeEuQQU0uPDYaR0
"One person killed, 11 injured in road accident in J&K's Ramban",https://www.deccanherald.com/india/jammu-and-kashmir/one-person-killed-11-injured-in-road-accident-in-jks-ramban-3004190&ved=2ahUKEwiQrr6nqdaGAxVOT2cHHcBeAPc4RhDF9AF6BAgBEAI&usg=AOvVaw3yHx42YzkXtkn9Iq-5oVmu
Three killed in road accident in Jodhpur,https://timesofindia.indiatimes.com/city/jodhpur/three-killed-in-road-accident-in-jodhpur/articleshow/109748110.cms&ved=2ahUKEwiQrr6nqdaGAxVOT2cHHcBeAPc4RhDF9AF6BAgAEAI&usg=AOvVaw1KevuUioRuotC9CYZ0lKhg
"Chhattisgarh Road Accident: At least 9 dead, 23 injured as car rams parked vehicle in Bemetara",https://m.economictimes.com/news/india/chhattisgarh-road-accident-at-least-9-dead-23-injured-as-car-rams-parked-vehicle-in-bemetara/videoshow/109680031.cms&ved=2ahUKEwiQrr6nqdaGAxVOT2cHHcBeAPc4RhDF9AF6BAgEEAI&usg=AOvVaw2LeoKg7sHTu15NfzDST4F4
3 children among 10 killed as truck rams car on Chhattisgarh highway,https://www.indiatoday.in/india/story/chhattisgarh-bemetara-road-accident-death-toll-several-dead-many-injured-2532863-2024-04-29&ved=2ahUKEwiQrr6nqdaGAxVOT2cHHcBeAPc4RhDF9AF6BAgGEAI&usg=AOvVaw0JnkTsly7MDnikyhULfn3p
"Two policemen killed in road accident in gopalganj, bihar",https://timesofindia.indiatimes.com/city/lucknow/two-policemen-killed-in-road-accident-in-gopalganj-bihar/articleshow/109663843.cms&ved=2ahUKEwiQrr6nqdaGAxVOT2cHHcBeAPc4RhDF9AF6BAgIEAI&usg=AOvVaw012NeA_V5oflx5j073KUlB
Overspeeding SUV goes airborne: Three Indian women killed in fatal road accident in US,https://timesofindia.indiatimes.com/nri/us-canada-news/overspeeding-suv-goes-airborne-three-indian-women-killed-in-fatal-road-accident-in-us/articleshow/109643909.cms&ved=2ahUKEwiKrvSnqdaGAxUvTmwGHQKZDdo4UBDF9AF6BAgCEAI&usg=AOvVaw3HCtx8ehLQfPnKAdmKA9B9
Three Indian women killed in horrific US car accident,https://www.hindustantimes.com/world-news/us-news/three-indian-women-killed-in-horrific-us-car-accident-101714205175741.html&ved=2ahUKEwiKrvSnqdaGAxUvTmwGHQKZDdo4UBDF9AF6BAgJEAI&usg=AOvVaw2HdhGtY0ZR_zhB42wsgCFx
"1 killed, 25 injured in Vadodara road accident",https://indianexpress.com/article/cities/ahmedabad/vadodara-road-accident-death-9292402/&ved=2ahUKEwiKrvSnqdaGAxUvTmwGHQKZDdo4UBDF9AF6BAgFEAI&usg=AOvVaw2tUDbDhJoKOnuiRbDbp4z7
The 10 Lakh Crore Accident Shock | India’s Road Crash Epidemic | Trailer | News9 Plus,https://www.youtube.com/watch%3Fv%3D6g0FVkvdEdU&ved=2ahUKEwiKrvSnqdaGAxUvTmwGHQKZDdo4UBDF9AF6BAgIEAI&usg=AOvVaw0Czlq_VOS4QlM9YnfwEO_7
"Hours before her wedding, Faridabad woman killed in road accident",https://indianexpress.com/article/cities/delhi/hours-before-her-wedding-faridabad-woman-killed-in-road-accident-9285318/&ved=2ahUKEwiKrvSnqdaGAxUvTmwGHQKZDdo4UBDF9AF6BAgGEAI&usg=AOvVaw0xbplWZycr7W_mR0L0grRM
"Who were Nivesh Mukka and Goutham Kumar Parsi, Indian students whose lives were claimed in Arizona road accident?",https://www.hindustantimes.com/world-news/us-news/who-were-nivesh-mukka-and-goutham-kumar-parsi-indian-students-whose-lives-were-claimed-in-arizona-road-accident-101713849482348.html&ved=2ahUKEwiKrvSnqdaGAxUvTmwGHQKZDdo4UBDF9AF6BAgEEAI&usg=AOvVaw3AQM9RO2yNJpVnte4B_QLJ
Woman Dies In Haryana Road Accident Hours Before Her Marriage: Police,https://www.ndtv.com/india-news/woman-dies-in-haryana-road-accident-hours-before-her-marriage-police-5499916&ved=2ahUKEwiKrvSnqdaGAxUvTmwGHQKZDdo4UBDF9AF6BAgDEAI&usg=AOvVaw3vJQpLjKXjE04QcMonHJBJ
Pankaj Tripathi’s brother in-law dies in road accident; actor’s sister injured,https://indianexpress.com/article/entertainment/bollywood/pankaj-tripathis-brother-in-law-dies-in-road-accident-actors-sister-injured-9282125/&ved=2ahUKEwiKrvSnqdaGAxUvTmwGHQKZDdo4UBDF9AF6BAgHEAI&usg=AOvVaw2rxZnnN_ojihf_uSZ6kqWw
5 Killed As Car Carrying Wedding Guests Meets With Accident In Agra: Cops,https://www.ndtv.com/india-news/5-killed-as-car-carrying-wedding-guests-meets-with-accident-in-agra-cops-5492643&ved=2ahUKEwiKrvSnqdaGAxUvTmwGHQKZDdo4UBDF9AF6BAgBEAI&usg=AOvVaw3EN_FULMDjR60n_ZSlQ8pB
Gujarat: 10 killed in road accident on Ahmedabad-Vadodara Expressway,https://www.financialexpress.com/india-news/gujarat-10-killed-as-car-rams-into-parked-truck-on-ahmedabad-vadodara-expressway/3460166/&ved=2ahUKEwiKrvSnqdaGAxUvTmwGHQKZDdo4UBDF9AF6BAgAEAI&usg=AOvVaw10fBUD9Usy-ulS3uDBSV-m
"Bus accident in Odisha leaves five dead, many injured as vehicle falls from flyover",https://m.economictimes.com/news/india/bus-accident-in-odisha-leaves-five-dead-many-injured-as-vehicle-falls-from-flyover/articleshow/109331406.cms&ved=2ahUKEwiy_KKoqdaGAxXERWwGHdMhG4Y4WhDF9AF6BAgCEAI&usg=AOvVaw1-GrcwuzvFsE3nmrFQRz56
"SUV rams two-wheeler on Andhra highway, travels 15 km with victim’s body on roof",https://indianexpress.com/article/cities/hyderabad/suv-rams-two-wheeler-on-highway-9273985/&ved=2ahUKEwiy_KKoqdaGAxXERWwGHdMhG4Y4WhDF9AF6BAgJEAI&usg=AOvVaw2Kfr7uvXrXnaOPEmFRlDQh
"School bus carrying 42 kids rams vehicles near Delhi's ITO, one dead",https://timesofindia.indiatimes.com/city/delhi/man-killed-in-road-crash-in-delhi/articleshow/109237295.cms&ved=2ahUKEwiy_KKoqdaGAxXERWwGHdMhG4Y4WhDF9AF6BAgFEAI&usg=AOvVaw22Upp7wu7ytz14vvsEs7We
Accidents in front of Balaka,https://www.telegraphindia.com/my-kolkata/news/accidents-in-front-of-balaka/cid/2012856&ved=2ahUKEwiy_KKoqdaGAxXERWwGHdMhG4Y4WhDF9AF6BAgGEAI&usg=AOvVaw0fDcxcyjnF8Kthqn6yKell
"Two killed, two injured in car accident in UP's Sidhauli",https://timesofindia.indiatimes.com/city/lucknow/two-killed-two-injured-in-car-accident-in-ups-sidhauli/articleshow/109213233.cms&ved=2ahUKEwiy_KKoqdaGAxXERWwGHdMhG4Y4WhDF9AF6BAgHEAI&usg=AOvVaw1DYqGWgR5XVO_zgoBJ0dfv
"Haryana: ‘Drunk’ driver crashes school bus, killing 6 students and injuring 21",https://indianexpress.com/article/cities/chandigarh/haryana-narnaul-school-bus-accident-9263694/&ved=2ahUKEwiy_KKoqdaGAxXERWwGHdMhG4Y4WhDF9AF6BAgIEAI&usg=AOvVaw0fdmHxnPRks7DupOl9o5ci
"Road Accident Not 'Act Of God', Court Orders Rs 20 Lakh Compensation To Victim",https://www.indiatimes.com/news/india/road-accident-not-act-of-god-court-orders-rs-20-lakh-compensation-to-victim-631818.html&ved=2ahUKEwiy_KKoqdaGAxXERWwGHdMhG4Y4WhDF9AF6BAgAEAI&usg=AOvVaw2FGRVRNBrara8skyZKGvo2
Two women and a year old child die in road accident on Ludhiana Chandigarh Highway,https://timesofindia.indiatimes.com/city/ludhiana/two-women-and-a-year-old-child-die-in-road-accident-on-ludhiana-chandigarh-highway/articleshow/109073269.cms&ved=2ahUKEwiy_KKoqdaGAxXERWwGHdMhG4Y4WhDF9AF6BAgBEAI&usg=AOvVaw0fufD1s_tNlXmHbjYeuTip
Four die in TN road accident,https://timesofindia.indiatimes.com/city/chennai/four-die-in-tn-road-accident/articleshow/109071601.cms&ved=2ahUKEwiy_KKoqdaGAxXERWwGHdMhG4Y4WhDF9AF6BAgDEAI&usg=AOvVaw3UbCWKMHEYvvUQgV964gXk
"Andhra student, on way to birthday celebration, dies in US accident",https://timesofindia.indiatimes.com/city/vijayawada/another-ap-student-dies-in-us-accident/articleshow/109017452.cms&ved=2ahUKEwiy_KKoqdaGAxXERWwGHdMhG4Y4WhDF9AF6BAgEEAI&usg=AOvVaw24ClMHSWE3q1hl47kbDjx6
"Indian-origin girl, mother killed in US road accident",https://www.indiatoday.in/world/story/indian-origin-girl-dead-in-us-road-accident-after-car-drives-though-stop-sign-2522602-2024-04-03&ved=2ahUKEwiI-dioqdaGAxU6S2cHHVuMDHE4ZBDF9AF6BAgCEAI&usg=AOvVaw0HcvISzflapytNlY_fKN_O
"Road Accident In UP's Chitrakoot: Major Collision Between Truck & Auto, 5 Dead & 3 Seriously Injured",https://news.abplive.com/videos/news/india-road-accident-in-up-s-chitrakoot-major-collision-between-truck-auto-5-dead-3-seriously-injured-1676600&ved=2ahUKEwiI-dioqdaGAxU6S2cHHVuMDHE4ZBDF9AF6BAgJEAI&usg=AOvVaw12zCnspPZLct4N_TzEbxZK
"Caught On Cam: Driver, 2 Children Killed In Road Accident On Delhi-Meerut Expressway",https://news.abplive.com/news/india/caught-on-cam-driver-2-children-killed-in-road-accident-on-delhi-meerut-expressway-1676260&ved=2ahUKEwiI-dioqdaGAxU6S2cHHVuMDHE4ZBDF9AF6BAgGEAI&usg=AOvVaw2BE6VcZkBb8p598m3LLIir
5 injured in car accident at Dabolim,https://timesofindia.indiatimes.com/city/goa/5-injured-in-car-accident-at-dabolim/articleshow/108906336.cms&ved=2ahUKEwiI-dioqdaGAxU6S2cHHVuMDHE4ZBDF9AF6BAgFEAI&usg=AOvVaw3gK0MJhk1DMvr3j6R_QNfi
IIT grad on bike dies as high-speed collision severs body into two,https://timesofindia.indiatimes.com/city/gurgaon/iit-graduate-dies-in-golf-course-road-accident-collision-severs-body/articleshow/108889116.cms&ved=2ahUKEwiI-dioqdaGAxU6S2cHHVuMDHE4ZBDF9AF6BAgIEAI&usg=AOvVaw1dc8iclRYRVqNgqTCFuJ3B
Two medical students die in road accident near Coimbatore,https://timesofindia.indiatimes.com/city/coimbatore/two-medical-students-die-in-road-accident-near-coimbatore/articleshow/108874274.cms&ved=2ahUKEwiI-dioqdaGAxU6S2cHHVuMDHE4ZBDF9AF6BAgDEAI&usg=AOvVaw3-tYzdOpEn9a0Glr4BtyhI
"Ex-NITI Aayog Employee, Pursuing PhD In London, Dies In Freak Accident",https://www.ndtv.com/indians-abroad/cheistha-kochhar-death-indian-student-dies-in-accident-while-cycling-back-home-in-london-5305427&ved=2ahUKEwiI-dioqdaGAxU6S2cHHVuMDHE4ZBDF9AF6BAgHEAI&usg=AOvVaw08XeqcPEOTOSMn013plLJv
Union Minister Ramdas Athawale meets with car accident,https://timesofindia.indiatimes.com/india/union-minister-ramdas-athawale-meets-with-car-accident/articleshow/108683839.cms&ved=2ahUKEwiI-dioqdaGAxU6S2cHHVuMDHE4ZBDF9AF6BAgAEAI&usg=AOvVaw0KE_axljDjDtk7NT9UkZXv
Government Launches Pilot Program for Cashless Treatment Of Road Accident Victims,https://www.carandbike.com/news/government-launches-pilot-program-for-cashless-treatment-of-road-accident-victims-3212217&ved=2ahUKEwiI-dioqdaGAxU6S2cHHVuMDHE4ZBDF9AF6BAgBEAI&usg=AOvVaw1OiVrIpWKRwJYjmFOu_jnC
MoRTH rolls out pilot program for cashless treatment of road accident victims,https://www.financialexpress.com/business/express-mobility-morth-rolls-pilot-program-for-cashless-treatment-of-road-accident-victims-3426064/&ved=2ahUKEwiI-dioqdaGAxU6S2cHHVuMDHE4ZBDF9AF6BAgEEAI&usg=AOvVaw1rfUxiAsCviM8zj4v8wnos
International Road Federation calls for reducing GST on helmets from 18% to nil,news.google.com/articles/CBMipQFodHRwczovL20uZWNvbm9taWN0aW1lcy5jb20vaW5kdXN0cnkvdHJhbnNwb3J0YXRpb24vcm9hZHdheXMvaW50ZXJuYXRpb25hbC1yb2FkLWZlZGVyYXRpb24tY2FsbHMtZm9yLXJlZHVjaW5nLWdzdC1vbi1oZWxtZXRzLWZyb20tMTgtdG8tbmlsL2FydGljbGVzaG93LzExMDk0MzA2NC5jbXPSAakBaHR0cHM6Ly9tLmVjb25vbWljdGltZXMuY29tL2luZHVzdHJ5L3RyYW5zcG9ydGF0aW9uL3JvYWR3YXlzL2ludGVybmF0aW9uYWwtcm9hZC1mZWRlcmF0aW9uLWNhbGxzLWZvci1yZWR1Y2luZy1nc3Qtb24taGVsbWV0cy1mcm9tLTE4LXRvLW5pbC9hbXBfYXJ0aWNsZXNob3cvMTEwOTQzMDY0LmNtcw?hl=en-IN&gl=IN&ceid=IN%3Aen
This man is on a crusade to improve India’s road safety,news.google.com/articles/CBMiS2h0dHBzOi8vd3d3LndlZm9ydW0ub3JnL2FnZW5kYS8yMDI0LzA1L3JvYWQtdHJhZmZpYy1zYWZldHktcHJvZ3JhbW1lLWluZGlhL9IBAA?hl=en-IN&gl=IN&ceid=IN%3Aen
"Three killed, 14 injured in road accident in Uttarakhand's Uttarkashi",news.google.com/articles/CBMiygFodHRwczovL3d3dy5pbmRpYXR2bmV3cy5jb20vbmV3cy9pbmRpYS91dHRhcmFraGFuZC1tYW55LWtpbGxlZC1zZXZlcmFsLWluanVyZWQtaW4tcm9hZC1hY2NpZGVudC1pbi11dHRhcmthc2hpLWdhbmdhbmFuaS1nYW5nb3RyaS1kaGFtLXNkcmYtbmRyZi1kaXNhc3Rlci1yZXNwb25zZS10ZWFtcy1yZXNjdWUtb3BlcmF0aW9uLTIwMjQtMDYtMTItOTM2NDY50gHOAWh0dHBzOi8vd3d3LmluZGlhdHZuZXdzLmNvbS9hbXAvbmV3cy9pbmRpYS91dHRhcmFraGFuZC1tYW55LWtpbGxlZC1zZXZlcmFsLWluanVyZWQtaW4tcm9hZC1hY2NpZGVudC1pbi11dHRhcmthc2hpLWdhbmdhbmFuaS1nYW5nb3RyaS1kaGFtLXNkcmYtbmRyZi1kaXNhc3Rlci1yZXNwb25zZS10ZWFtcy1yZXNjdWUtb3BlcmF0aW9uLTIwMjQtMDYtMTItOTM2NDY5?hl=en-IN&gl=IN&ceid=IN%3Aen
Int'l Road Federation wants no GST on helmets to make them affordable,news.google.com/articles/CBMijgFodHRwczovL3d3dy5idXNpbmVzcy1zdGFuZGFyZC5jb20vZWNvbm9teS9uZXdzL2ludGVybmF0aW9uYWwtcm9hZC1mZWRlcmF0aW9uLXdhbnRzLW5vLWdzdC1vbi1oZWxtZXRzLXRvLW1ha2UtaXQtYWZmb3JkYWJsZS0xMjQwNjEyMDA0MzNfMS5odG1s0gGSAWh0dHBzOi8vd3d3LmJ1c2luZXNzLXN0YW5kYXJkLmNvbS9hbXAvZWNvbm9teS9uZXdzL2ludGVybmF0aW9uYWwtcm9hZC1mZWRlcmF0aW9uLXdhbnRzLW5vLWdzdC1vbi1oZWxtZXRzLXRvLW1ha2UtaXQtYWZmb3JkYWJsZS0xMjQwNjEyMDA0MzNfMS5odG1s?hl=en-IN&gl=IN&ceid=IN%3Aen
Four-year-old killed in road accident near Manali,news.google.com/articles/CBMifGh0dHBzOi8vdGltZXNvZmluZGlhLmluZGlhdGltZXMuY29tL2NpdHkvY2hlbm5haS9mb3VyLXllYXItb2xkLWtpbGxlZC1pbi1yb2FkLWFjY2lkZW50LW5lYXItbWFuYWxpL2FydGljbGVzaG93LzExMDgyODA1MC5jbXPSAYABaHR0cHM6Ly90aW1lc29maW5kaWEuaW5kaWF0aW1lcy5jb20vY2l0eS9jaGVubmFpL2ZvdXIteWVhci1vbGQta2lsbGVkLWluLXJvYWQtYWNjaWRlbnQtbmVhci1tYW5hbGkvYW1wX2FydGljbGVzaG93LzExMDgyODA1MC5jbXM?hl=en-IN&gl=IN&ceid=IN%3Aen
Data | Road crash deaths down by 5 per cent globally but India’s numbers rise: report,news.google.com/articles/CBMirgFodHRwczovL2Zyb250bGluZS50aGVoaW5kdS5jb20vbmV3cy9kYXRhLXJvYWQtY3Jhc2gtZGVhdGhzLWRvd24tYnktNS1wZXItY2VudC1nbG9iYWxseS1idXQtaW5kaWEtbnVtYmVycy1yaXNlLXdoby1nbG9iYWwtc3RhdHVzLXJlcG9ydC1vbi1yb2FkLXNhZmV0eS0yMDIzL2FydGljbGU2NzYzODA0NS5lY2XSAbMBaHR0cHM6Ly9mcm9udGxpbmUudGhlaGluZHUuY29tL25ld3MvZGF0YS1yb2FkLWNyYXNoLWRlYXRocy1kb3duLWJ5LTUtcGVyLWNlbnQtZ2xvYmFsbHktYnV0LWluZGlhLW51bWJlcnMtcmlzZS13aG8tZ2xvYmFsLXN0YXR1cy1yZXBvcnQtb24tcm9hZC1zYWZldHktMjAyMy9hcnRpY2xlNjc2MzgwNDUuZWNlL2FtcC8?hl=en-IN&gl=IN&ceid=IN%3Aen
What does data tell us about road accidents in India?,news.google.com/articles/CBMic2h0dHBzOi8vd3d3LmhpbmR1c3RhbnRpbWVzLmNvbS9pbmRpYS1uZXdzL3doYXQtZG9lcy1kYXRhLXRlbGwtdXMtYWJvdXQtcm9hZC1hY2NpZGVudHMtaW4taW5kaWEtMTAxNzA0MjIyNTA4NzA0Lmh0bWzSAXdodHRwczovL3d3dy5oaW5kdXN0YW50aW1lcy5jb20vaW5kaWEtbmV3cy93aGF0LWRvZXMtZGF0YS10ZWxsLXVzLWFib3V0LXJvYWQtYWNjaWRlbnRzLWluLWluZGlhLTEwMTcwNDIyMjUwODcwNC1hbXAuaHRtbA?hl=en-IN&gl=IN&ceid=IN%3Aen
