description_text,link
"Road accidents claimed 19 lives in India every hour in 2022, govt report says 1.68 lakh killed last year | Today News",news.google.com/articles/CBMinwFodHRwczovL3d3dy5saXZlbWludC5jb20vbmV3cy9pbmRpYS9yb2FkLWFjY2lkZW50cy1jbGFpbWVkLTE5LWxpdmVzLWluLWluZGlhLWV2ZXJ5LWhvdXItaW4tMjAyMi1nb3Z0LXJlcG9ydC1zYXlzLTEtNjgtbGFraC1raWxsZWQtbGFzdC15ZWFyLTExNjk4NzU3Mjk1MTgzLmh0bWzSAaMBaHR0cHM6Ly93d3cubGl2ZW1pbnQuY29tL25ld3MvaW5kaWEvcm9hZC1hY2NpZGVudHMtY2xhaW1lZC0xOS1saXZlcy1pbi1pbmRpYS1ldmVyeS1ob3VyLWluLTIwMjItZ292dC1yZXBvcnQtc2F5cy0xLTY4LWxha2gta2lsbGVkLWxhc3QteWVhci9hbXAtMTE2OTg3NTcyOTUxODMuaHRtbA?hl=en-IN&gl=IN&ceid=IN%3Aen
Four YouTubers killed in tragic road accident in UP’s Amroha,news.google.com/articles/CBMimAFodHRwczovL3d3dy5kbmFpbmRpYS5jb20vaW5kaWEvcmVwb3J0LWZvdXIteW91dHViZXJzLXJvdW5kLTItd29ybGQta2lsbGVkLWluLXRyYWdpYy1yb2FkLWFjY2lkZW50LWluLXVwLXMtYW1yb2hhLWx1Y2t5LXNhbG1hbi1zaGFocnVraC1zaGFobmF3YXotMzA5MjkzNdIBnAFodHRwczovL3d3dy5kbmFpbmRpYS5jb20vaW5kaWEvcmVwb3J0LWZvdXIteW91dHViZXJzLXJvdW5kLTItd29ybGQta2lsbGVkLWluLXRyYWdpYy1yb2FkLWFjY2lkZW50LWluLXVwLXMtYW1yb2hhLWx1Y2t5LXNhbG1hbi1zaGFocnVraC1zaGFobmF3YXotMzA5MjkzNS9hbXA?hl=en-IN&gl=IN&ceid=IN%3Aen
"Tragic Hardoi Accident: Sand-Laden Truck Topples Over Hut, Killing 8 Including 4 Children",news.google.com/articles/CBMigwFodHRwczovL3d3dy5vbmVpbmRpYS5jb20vaW5kaWEvdHJhZ2ljLWhhcmRvaS1hY2NpZGVudC1zYW5kLWxhZGVuLXRydWNrLXRvcHBsZXMtb3Zlci1odXQta2lsbGluZy04LWluY2x1ZGluZy00LWNoaWxkcmVuLTM4NTA0NjUuaHRtbNIBAA?hl=en-IN&gl=IN&ceid=IN%3Aen
Why India’s road accident and fatality numbers are rising again,news.google.com/articles/CBMihQFodHRwczovL3d3dy5pbmRpYXRvZGF5LmluL2luZGlhLXRvZGF5LWluc2lnaHQvc3Rvcnkvd2h5LWluZGlhcy1yb2FkLWFjY2lkZW50LWFuZC1mYXRhbGl0eS1udW1iZXJzLWFyZS1yaXNpbmctYWdhaW4tMjQ1NjgxNC0yMDIzLTExLTAx0gGJAWh0dHBzOi8vd3d3LmluZGlhdG9kYXkuaW4vYW1wL2luZGlhLXRvZGF5LWluc2lnaHQvc3Rvcnkvd2h5LWluZGlhcy1yb2FkLWFjY2lkZW50LWFuZC1mYXRhbGl0eS1udW1iZXJzLWFyZS1yaXNpbmctYWdhaW4tMjQ1NjgxNC0yMDIzLTExLTAx?hl=en-IN&gl=IN&ceid=IN%3Aen
Pune Porsche car accident: Illegal portions of resort owned by accused juvenile’s family demolished in Mahabaleshwar,news.google.com/articles/CBMipwFodHRwczovL3d3dy5maW5hbmNpYWxleHByZXNzLmNvbS9pbmRpYS1uZXdzL3B1bmUtcG9yc2NoZS1jYXItYWNjaWRlbnQtaWxsZWdhbC1wb3J0aW9ucy1vZi1yZXNvcnQtb3duZWQtYnktYWNjdXNlZC1qdXZlbmlsZXMtZmFtaWx5LWRlbW9saXNoZWQtaW4tbWFoYWJhbGVzaHdhci8zNTE4NjAxL9IBrAFodHRwczovL3d3dy5maW5hbmNpYWxleHByZXNzLmNvbS9pbmRpYS1uZXdzL3B1bmUtcG9yc2NoZS1jYXItYWNjaWRlbnQtaWxsZWdhbC1wb3J0aW9ucy1vZi1yZXNvcnQtb3duZWQtYnktYWNjdXNlZC1qdXZlbmlsZXMtZmFtaWx5LWRlbW9saXNoZWQtaW4tbWFoYWJhbGVzaHdhci8zNTE4NjAxL2xpdGUv?hl=en-IN&gl=IN&ceid=IN%3Aen
19 people died every hour in road accident in India last year,news.google.com/articles/CBMifmh0dHBzOi8vbS5lY29ub21pY3RpbWVzLmNvbS9uZXdzL2luZGlhLzE5LXBlb3BsZS1kaWVkLWV2ZXJ5LWhvdXItaW4tcm9hZC1hY2NpZGVudC1pbi1pbmRpYS1sYXN0LXllYXIvYXJ0aWNsZXNob3cvMTA0ODU2NzMyLmNtc9IBggFodHRwczovL20uZWNvbm9taWN0aW1lcy5jb20vbmV3cy9pbmRpYS8xOS1wZW9wbGUtZGllZC1ldmVyeS1ob3VyLWluLXJvYWQtYWNjaWRlbnQtaW4taW5kaWEtbGFzdC15ZWFyL2FtcF9hcnRpY2xlc2hvdy8xMDQ4NTY3MzIuY21z?hl=en-IN&gl=IN&ceid=IN%3Aen
What India's Hit-And-Run Data Says About Road Accident Deaths,news.google.com/articles/CBMiZGh0dHBzOi8vd3d3Lm5kdHYuY29tL2luZGlhLW5ld3Mvd2hhdC1pbmRpYXMtaGl0LWFuZC1ydW4tZGF0YS1zYXlzLWFib3V0LXJvYWQtYWNjaWRlbnQtZGVhdGhzLTU3NTQ5MTXSAWpodHRwczovL3d3dy5uZHR2LmNvbS9pbmRpYS1uZXdzL3doYXQtaW5kaWFzLWhpdC1hbmQtcnVuLWRhdGEtc2F5cy1hYm91dC1yb2FkLWFjY2lkZW50LWRlYXRocy01NzU0OTE1L2FtcC8x?hl=en-IN&gl=IN&ceid=IN%3Aen
Ophthalmologist killed as van hits building's security gate,news.google.com/articles/CBMib2h0dHBzOi8vdGltZXNvZmluZGlhLmluZGlhdGltZXMuY29tL2NpdHkvbXVtYmFpL2RlbnRpc3QtZGllZC1pbi1yb2FkLWFjY2lkZW50LWF0LXNpb24vYXJ0aWNsZXNob3cvMTEwODE2OTI4LmNtc9IBc2h0dHBzOi8vdGltZXNvZmluZGlhLmluZGlhdGltZXMuY29tL2NpdHkvbXVtYmFpL2RlbnRpc3QtZGllZC1pbi1yb2FkLWFjY2lkZW50LWF0LXNpb24vYW1wX2FydGljbGVzaG93LzExMDgxNjkyOC5jbXM?hl=en-IN&gl=IN&ceid=IN%3Aen
Road accident fatalities hit all-time high last year in India: Govt data,news.google.com/articles/CBMiggFodHRwczovL3d3dy5idXNpbmVzcy1zdGFuZGFyZC5jb20vaW5kaWEtbmV3cy9yb2FkLWFjY2lkZW50LWZhdGFsaXRpZXMtaGlnaGVzdC1pbi1uZWFybHktdHdvLWRlY2FkZXMtc2hvd3MtZGF0YS0xMjMxMDMxMDEyNDlfMS5odG1s0gGGAWh0dHBzOi8vd3d3LmJ1c2luZXNzLXN0YW5kYXJkLmNvbS9hbXAvaW5kaWEtbmV3cy9yb2FkLWFjY2lkZW50LWZhdGFsaXRpZXMtaGlnaGVzdC1pbi1uZWFybHktdHdvLWRlY2FkZXMtc2hvd3MtZGF0YS0xMjMxMDMxMDEyNDlfMS5odG1s?hl=en-IN&gl=IN&ceid=IN%3Aen
Govt aims to reduce road accident deaths by 50% by 2030: Union Minister Nitin Gadkari,news.google.com/articles/CBMilAFodHRwczovL20uZWNvbm9taWN0aW1lcy5jb20vbmV3cy9pbmRpYS9nb3Z0LWFpbXMtdG8tcmVkdWNlLXJvYWQtYWNjaWRlbnQtZGVhdGhzLWJ5LTUwLWJ5LTIwMzAtdW5pb24tbWluaXN0ZXItbml0aW4tZ2Fka2FyaS9hcnRpY2xlc2hvdy8xMDY4OTQwOTcuY21z0gGYAWh0dHBzOi8vbS5lY29ub21pY3RpbWVzLmNvbS9uZXdzL2luZGlhL2dvdnQtYWltcy10by1yZWR1Y2Utcm9hZC1hY2NpZGVudC1kZWF0aHMtYnktNTAtYnktMjAzMC11bmlvbi1taW5pc3Rlci1uaXRpbi1nYWRrYXJpL2FtcF9hcnRpY2xlc2hvdy8xMDY4OTQwOTcuY21z?hl=en-IN&gl=IN&ceid=IN%3Aen
